2020-10-09 at 11:40:33 | DEBUG | Database: init db success
2020-10-09 at 11:40:34 | DEBUG | weather data: DataFrame is empty! Try parse the new data
2020-10-09 at 11:40:34 | DEBUG | weather data: get day data success !!
2020-10-09 at 11:40:36 | DEBUG | weather data: translate data success !!
2020-10-09 at 11:40:36 | DEBUG | Database: init db success
2020-10-09 at 11:40:36 | DEBUG | Database: insertFrame success
2020-10-09 at 11:40:36 | DEBUG | weather data: insert weather data to DB success !!
2020-10-09 at 11:40:36 | DEBUG | weather data: redundant data delete success !!
2020-10-09 at 11:40:37 | DEBUG | weather data: DataFrame is empty! Try parse the new data
2020-10-09 at 11:40:37 | DEBUG | weather data: get day data success !!
2020-10-09 at 11:40:37 | DEBUG | weather data: translate data success !!
2020-10-09 at 11:40:37 | DEBUG | Database: init db success
2020-10-09 at 11:40:37 | DEBUG | Database: insertFrame success
2020-10-09 at 11:40:37 | DEBUG | weather data: insert weather data to DB success !!
2020-10-09 at 11:58:34 | DEBUG | Database: init db success
2020-10-09 at 11:58:34 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:58:34 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:58:34 | DEBUG | Result: Not suitable for fishing(large wave)
2020-10-09 at 11:58:59 | DEBUG | Database: init db success
2020-10-09 at 11:58:59 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:58:59 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:58:59 | DEBUG | Result: Not suitable for fishing(large wind)
2020-10-09 at 11:59:11 | DEBUG | Database: init db success
2020-10-09 at 11:59:11 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:11 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:24 | DEBUG | Database: init db success
2020-10-09 at 11:59:24 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:24 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:44 | DEBUG | Database: init db success
2020-10-09 at 11:59:44 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:44 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:54 | DEBUG | Database: init db success
2020-10-09 at 11:59:54 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:55 | DEBUG | weather data: DataFrame founded
2020-10-09 at 11:59:55 | DEBUG | Result: Suitable for fishing!!!!
2020-10-09 at 12:11:31 | DEBUG | Database: init db success
2020-10-09 at 12:20:05 | DEBUG | Database: init db success
2020-10-09 at 12:20:05 | DEBUG | weather data: DataFrame is empty! Try parse the new data
2020-10-09 at 12:20:06 | DEBUG | weather data: get day data success !!
2020-10-09 at 12:20:07 | DEBUG | weather data: translate data success !!
2020-10-09 at 12:20:07 | DEBUG | Database: init db success
2020-10-09 at 12:20:07 | DEBUG | Database: insertFrame success
2020-10-09 at 12:20:07 | DEBUG | weather data: insert weather data to DB success !!
2020-10-09 at 12:20:07 | DEBUG | weather data: redundant data delete success !!
2020-10-09 at 12:20:07 | DEBUG | weather data: DataFrame is empty! Try parse the new data
2020-10-09 at 12:20:07 | DEBUG | weather data: get day data success !!
2020-10-09 at 12:20:08 | DEBUG | weather data: translate data success !!
2020-10-09 at 12:20:08 | DEBUG | Database: init db success
2020-10-09 at 12:20:08 | DEBUG | Database: insertFrame success
2020-10-09 at 12:20:08 | DEBUG | weather data: insert weather data to DB success !!
2020-10-09 at 12:20:08 | DEBUG | Result: Not suitable for fishing(large wave)
